,Name,Title,Typename,XYZ URL,Max Z
116,ostwentyfiveinchparishdunsyre,dunsyre,,https://mapseries-tilesets.s3.amazonaws.com/25_inch/parishes/dunsyre/{z}/{x}/{y}.png,
117,ostwentyfiveinchparisheast_kilbride,east_kilbride,,https://mapseries-tilesets.s3.amazonaws.com/25_inch/parishes/east_kilbride/{z}/{x}/{y}.png,
118,ostwentyfiveinchparishglassford,glassford,,https://mapseries-tilesets.s3.amazonaws.com/25_inch/parishes/glassford/{z}/{x}/{y}.png,
119,ostwentyfiveinchparishgovan,govan,,https://mapseries-tilesets.s3.amazonaws.com/25_inch/parishes/govan-tileset/{z}/{x}/{y}.png,
120,ostwentyfiveinchparishhamilton,hamilton,,https://mapseries-tilesets.s3.amazonaws.com/25_inch/parishes/hamilton/{z}/{x}/{y}.png,
121,ostwentyfiveinchparishlamington_and_wandell,lamington_and_wandell,,https://mapseries-tilesets.s3.amazonaws.com/25_inch/parishes/lamington_and_wandell/{z}/{x}/{y}.png,
122,ostwentyfiveinchparishlanark,lanark,,https://mapseries-tilesets.s3.amazonaws.com/25_inch/parishes/lanark/{z}/{x}/{y}.png,
123,ostwentyfiveinchparishlesmahagow,lesmahagow,,https://mapseries-tilesets.s3.amazonaws.com/25_inch/parishes/lesmahagow/{z}/{x}/{y}.png,
124,ostwentyfiveinchparishliberton,liberton,,https://mapseries-tilesets.s3.amazonaws.com/25_inch/parishes/liberton/{z}/{x}/{y}.png,
125,ostwentyfiveinchparishmaryhill,maryhill,,https://mapseries-tilesets.s3.amazonaws.com/25_inch/parishes/maryhill/{z}/{x}/{y}.png,
126,ostwentyfiveinchparishnew_monkland,new_monkland,,https://mapseries-tilesets.s3.amazonaws.com/25_inch/parishes/new_monkland/{z}/{x}/{y}.png,
127,ostwentyfiveinchparishold_monkland,old_monkland,,https://mapseries-tilesets.s3.amazonaws.com/25_inch/parishes/old_monkland/{z}/{x}/{y}.png,
128,ostwentyfiveinchparishpettinain,pettinain,,https://mapseries-tilesets.s3.amazonaws.com/25_inch/parishes/pettinain/{z}/{x}/{y}.png,
129,ostwentyfiveinchparishrutherglen,rutherglen,,https://mapseries-tilesets.s3.amazonaws.com/25_inch/parishes/rutherglen/{z}/{x}/{y}.png,
130,ostwentyfiveinchparishshettleston,shettleston,,https://mapseries-tilesets.s3.amazonaws.com/25_inch/parishes/shettleston/{z}/{x}/{y}.png,
131,ostwentyfiveinchparishshotts,shotts,,https://mapseries-tilesets.s3.amazonaws.com/25_inch/parishes/shotts/{z}/{x}/{y}.png,
132,ostwentyfiveinchparishspringburn,springburn,,https://mapseries-tilesets.s3.amazonaws.com/25_inch/parishes/springburn/{z}/{x}/{y}.png,
